Nama,Singkatan
Akademi Pariwisata Nasional Jakarta,
Akademi Pariwisata Patria Indonesia,
Akademi Pelayaran Niaga Indonesia Jakarta,
Akademi Perekam Medis Dan Infokes Bhumi Husada,
Akademi Pimpinan Perusahaan,
Akademi Sekretari Dan Manajemen Purnama,
Akademi Sekretari Interstudi,
Akademi Teknologi Grafika Indonesia Jakarta,
Institut Bisnis dan Informatika Kosgoro 1957,IBI-Kosgoro
Institut Ilmu Sosial Dan Ilmu Politik Jakarta,IISIP
Institut PTIQ Jakarta,
Institut Sains Dan Teknologi Nasional,ISTN
Politeknik Ahli Usaha Perikanan,
Politeknik Bisnis dan Pasar Modal,
Politeknik Bunda Kandung,
Politeknik Jakarta Internasional,
Politeknik Karya Husada,
Politeknik Negeri Media Kreatif,
Politeknik Tugu Jakarta,
Poltekkes Kemenkes Jakarta I,
Poltekkes Kemenkes Jakarta II,
Sekolah Tinggi Agama Buddha Samantabadra - NSI,
Sekolah Tinggi Agama Islam Darunnajah Jakarta,
Sekolah Tinggi Agama Islam Sadra,
Sekolah Tinggi Alkitab Kalam Kristus Jakarta,
Sekolah Tinggi Bahasa Asing LIA,
Sekolah Tinggi Desain Interstudi,
Sekolah Tinggi Fashion IIFI Jakarta,
Sekolah Tinggi Filsafat Islam Sadra Jakarta,
Sekolah Tinggi Hukum Indonesia Jakarta,
Sekolah Tinggi Hukum Indonesia Jentera,
Sekolah Tinggi Ilmu Ekonomi Ahmad Dahlan Jakarta,
Sekolah Tinggi Ilmu Ekonomi dan Keuangan dan Perbankan,
Sekolah Tinggi Ilmu Ekonomi Dharma Bumi Putra,
Sekolah Tinggi Ilmu Ekonomi Ganesha,
Sekolah Tinggi Ilmu Ekonomi ISM,
Sekolah Tinggi Ilmu Ekonomi Maiji,
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Jakarta,
Sekolah Tinggi Ilmu Ekonomi Sailendra,
Sekolah Tinggi Ilmu Ekonomi Triguna,
Sekolah Tinggi Ilmu Ekonomi Widya Jayakarta,
Sekolah Tinggi Ilmu Ekonomi Widya Persada,
Sekolah Tinggi Ilmu Kesehatan Indonesia Maju,
Sekolah Tinggi Ilmu Kesehatan Pamentas,
Sekolah Tinggi Ilmu Kesehatan Pertamedika,
Sekolah Tinggi Ilmu Kesehatan Tarumanagara,
Sekolah Tinggi Ilmu Komunikasi Indonesia Maju,
Sekolah Tinggi Ilmu Komunikasi Inter Studi,
Sekolah Tinggi Ilmu Komunikasi ITKP,
Sekolah Tinggi Ilmu Manajemen dan Ilmu Komputer ESQ,
Sekolah Tinggi Ilmu Manajemen Kosgoro,
Sekolah Tinggi Ilmu Pemerintahan Abdi Negara,
Sekolah Tinggi Manajemen Immi,
Sekolah Tinggi Manajemen Imni,
Sekolah Tinggi Manajemen Informatika dan Komputer Jakarta STI&K,
Sekolah Tinggi Manajemen Ipmi,
Sekolah Tinggi Manajemen Yaksi,
Sekolah Tinggi Pariwisata Sahid,
Sekolah Tinggi Pariwisata Trisakti,
Sekolah Tinggi Penerbangan Aviasi,
Sekolah Tinggi Perikanan,
Sekolah Tinggi Teknik Informatik Benarif Indonesia,
Sekolah Tinggi Teknologi Informasi NIIT,
Sekolah Tinggi Teologi Apollos Jakarta,
Sekolah Tinggi Teologi IKAT Jakarta,
Sekolah Tinggi Teologi Iman Jakarta,
Sekolah Tinggi Teologi Immanuel Nusantara Jakarta,
Sekolah Tinggi Teologi Inalta,
Sekolah Tinggi Teologi Reformed Indonesia,
STAI ALHIKMAH Jakarta Selatan,
"STAI Darul Ma`arif, Cipete Jakarta Selatan",
STID Dirosat Islamiyah Al-Hikmah Mampang Jakarta Selatan,
Sekolah Tinggi Ilmu Ekonomi Bakrie School Of Management,
Sekolah Tinggi Ilmu Ekonomi Manajemen Bisnis Indonesia,
Sekolah Tinggi Ilmu Ekonomi Unisadhuguna,
Sekolah Tinggi Ilmu Kesehatan Bhakti Pertiwi Indonesia,
STISIP Widuri,
STIU Dirosat Islamiyah Al-Hikmah Jakarta Selatan,
STKIP Purnama,
STMIK Bidakara,
STMIK Eresha,
STMIK Widuri,
9a0dsaSekolah Tinggi Teologi ik Meridian,
Universitas Al-Azhar Indonesia,UAI
Universitas Bakrie,
Universitas Bhayangkara Jakarta Raya,UBJ
Universitas Indonesia Maju,UIMA
Universitas Indraprasta PGRI,UNINDRA
Universitas Katolik Indonesia Atma Jaya,
Universitas Nasional,Unas
Universitas Pancasila,UP
Universitas Paramadina,
Universitas Pertamina,
Universitas Siber Asia,UNSIA
Universitas Tama Jagakarsa,
Universitas Tanri Abeng,
Universitas Trilogi,
Akademi Komunikasi Media Radio Dan TV Jakarta,
Akademi Komunikasi SAE Indonesia,
Institut Teknologi dan Bisnis Bank Rakyat Indonesia,
Politeknik Global Indonesia,
Sekolah Tinggi Keuangan Niaga & Negara Pembangunan,
STMIK Kuwera,
Universitas Sampoerna,
Akademi Fisioterapi UPN Veteran Jakarta,
Akademi Keperawatan Antariksa,
Akademi Keperawatan UPN Veteran Jakarta,
Sekolah Tinggi Manajemen Prasetiya Mulya,
Sekolah Tinggi Ilmu Ekonomi Prasetiya Mulya,
Universitas Pembangunan Nasional Veteran Jakarta,UPNVJ
Universitas Prasetiya Mulya,Prasmul
Akademi Sekretari Budi Luhur,
Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan,
Universitas Budi Luhur,
Sekolah Tinggi Ilmu Ekonomi Gotong Royong,
Universitas Satya Negara Indonesia,USNI
Sekolah Tinggi Ilmu Kepolisian,
STMIK Islam Internasional,
Universitas Muhammadiyah Prof Dr Hamka,Uhamka
Universitas Prof Dr Moestopo (Beragama),UPDM(B)
Sekolah Tinggi Ilmu Ekonomi Indonesia Banking School,
Akademi Sekretari Dan Manajemen Pitaloka,
Sekolah Tinggi Ilmu Ekonomi Putera Sampoerna,
Sekolah Tinggi Manajemen Informatika dan Komputer Indo Daya Suvana,
STKIP Kebangkitan Nasional,
Universitas Islam Attahiriyah,
Universitas Sahid,USAHID
Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,
Sekolah Tinggi Ilmu Ekonomi Perbanas,
Sekolah Tinggi Teologi Indonesia Jakarta,
Akademi Akuntansi Borobudur,
Akademi Akuntansi Jayabaya,
Akademi Bahasa Asing Borobudur,
Akademi Bahasa Asing Prawira Marta Jakarta,
Akademi Farmasi IKIFA,
Akademi Farmasi Mahadhika,
Akademi Fisioterapi Universitas Kristen Indonesia,
Akademi Kebidanan Al-Fathonah,
Akademi Kebidanan Jayakarta Sehat,
Akademi Kebidanan Mitra Persahabatan,
Akademi Kebidanan Prestasi Agung,
Akademi Kebidanan Suluh Bangsa,
Akademi Kebidanan Widya Karsa Jayakarta,
Akademi Kebidanan Yaspen Tugu Ibu,
Akademi Keperawatan Andakara,
Akademi Keperawatan Antariksa Jakarta,
Akademi Keperawatan Jayakarta Prov Dki Jakarta,
Akademi Keperawatan Mitra Keluarga Jakarta,
Akademi Keperawatan Pasar Rebo Jakarta,
Akademi Keperawatan POLRI,
Akademi Keperawatan Royhan,
Akademi Keperawatan RSU FK-UKI,
Akademi Keperawatan Sismadi,
Akademi Keperawatan Yaspen Jakarta,
Akademi Keuangan Dan Perbankan Borobudur,
Akademi Komunikasi BSI Jakarta,
Akademi Manajemen Informatika Dan Komputer Yapri,
Akademi Manajemen Perusahaan Jayabaya,
Akademi Maritim Pembangunan Jakarta,
Akademi Pariwisata Indonesia Jakarta,
Akademi Pariwisata Paramitha Jakarta,
Akademi Perbankan Yuki,
Akademi Sekretari Dan Manajemen BSI Jakarta,
Akademi Sekretari Dan Manajemen Don Bosco,
Akademi Sekretaris Dan Manajemen Laksi-31,
Akademi Sekretaris ISWI Jakarta,
Akademi Sekretaris LPK Tarakanita,
Akademi Seni Rupa Dan Desain ISWI Jakarta,
Akademi Teknik Elektromedik Andakara,
Akademi Teknik Radiodiagnostik dan Radioterapi Nusantara,
Akademi Teknologi Grafika Trisakti,
AMIK Mpu Tantular,
Institut Agama Islam Al-Ghuraba Rawamangun Jakarta Timur,IAI Al-Ghuraba
Institut Bisnis dan Multimedia Asmi Jakarta,IBM Asmi
Institut Pembina Rohani Islam Jakarta ,IPRIJA
Institut Teknologi Budi Utomo,ITBU
Institut Teknologi dan Bisnis Kalbis,
Politeknik Kesehatan Hermina,
Politeknik Statistika STIS,
Politeknik Trisila Dharma,
Sekolah Tinggi Agama Buddha Nalanda,
Sekolah Tinggi Agama Islam Minhaajurroosyidiin,
Sekolah Tinggi Bahasa Asing IEC Jakarta,
Sekolah Tinggi Bahasa Asing Pertiwi Indonesia,
Sekolah Tinggi Ekonomi Islam Husnayain Jakarta Timur,
Sekolah Tinggi Hukum Militer AHM - PTHM,
Sekolah Tinggi Ilmu Administrasi & Sekretari Asmi,
Sekolah Tinggi Ilmu Ekonomi Dr Moechtar Talib,
Sekolah Tinggi Ilmu Ekonomi Indonesia Jakarta,
Sekolah Tinggi Ilmu Ekonomi Indonesia Raya,
Sekolah Tinggi Ilmu Ekonomi Islam Jakarta,
Sekolah Tinggi Ilmu Ekonomi Kampus Ungu,
Sekolah Tinggi Ilmu Ekonomi Kusuma Negara,
Sekolah Tinggi Ilmu Ekonomi Nusantara,
Sekolah Tinggi Ilmu Ekonomi Supra,
Sekolah Tinggi Ilmu Ekonomi Swadaya,
Sekolah Tinggi Ilmu Ekonomi Trianandra,
Sekolah Tinggi Ilmu Ekonomi Tunas Nusantara,
Sekolah Tinggi Ilmu Ekonomi Wira Bakti,
Sekolah Tinggi Ilmu Ekonomi YPBI,
Sekolah Tinggi Ilmu Kesehatan Abdi Nusantara,
Sekolah Tinggi Ilmu Kesehatan IKIFA,
Sekolah Tinggi Ilmu Kesehatan Istara Nusantara,
Sekolah Tinggi Ilmu Kesehatan Jayakarta,
Sekolah Tinggi Ilmu Kesehatan Mitra Ria Husada Jakarta,
Sekolah Tinggi Ilmu Komunikasi dan Sekretari Tarakanita,
Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia,
Sekolah Tinggi Ilmu Maritim Ami,
Sekolah Tinggi Ilmu Syariah Al-Manar,
Sekolah Tinggi Ilmu Tarbiyah INSIDA,
Sekolah TInggi Keguruan dan Ilmu Pendidikan Kusuma Negara,
Sekolah Tinggi Manajemen Asuransi Trisakti,
Sekolah Tinggi Manajemen Informatika dan Komputer Nusa Mandiri,
Sekolah Tinggi Manajemen Risiko Dan Asuransi,
Sekolah Tinggi Media Komunikasi Trisakti,
Sekolah Tinggi Perpajakan Indonesia,
Sekolah Tinggi Teknologi 10 November,
Sekolah Tinggi Teknologi Kelautan Hatawana,
Sekolah Tinggi Teknologi Sapta Taruna,
Sekolah Tinggi Teologi Abdi Filadelfia Internasional,
Sekolah Tinggi Teologi Agapes Jakarta,
Sekolah Tinggi Teologi Doulos Jakarta,
Sekolah Tinggi Teologi Jaffray Jakarta,
Sekolah Tinggi Teologi Pantekosta Jakarta,
St Ilmu Komputer Cipta Karya Informatika,
STAI Acprilesma Indonesia,
"STAI Al-Aqidah Al-Hasyimiyah Jakarta, Jakarta Timur",
"STAI Azziyadah Klender, Jakarta Timur",
"STAI Lan Taboer Pondok Gede, Jakarta Timur",
STAK Sola Scriptura Jakarta,
Sekolah Tinggi Ilmu Ekonomi Pariwisata Internasional,
Sekolah Tinggi Ilmu Ekonomi Pengembangan Bisnis Dan Manajemen,
STIMIK Supra,
STKIP Albana,
STMIK Bina Mulya,
STMIK Jayabaya Jakarta,
STMIK Muhammadiyah Jakarta,
Sekolah Tinggi Teologi  Krisba,
Sekolah Tinggi Teologi  SAMUEL ELIZABETH,
Universitas Borobudur,
Universitas Darma Persada,
Universitas Dirgantara Marsekal Suryadarma,Unsurya
Universitas Islam Jakarta,
Universitas Jakarta,
Universitas Jayabaya,
Universitas Krisnadwipayana,UNKRIS
Universitas Mpu Tantular,
Universitas Respati Indonesia,URINDO
Universitas Wiraswasta Indonesia,UWI
Politeknik Ketenagakerjaan,
Sekolah Tinggi Ilmu Ekonomi IPWI Jakarta,
Akademi Pariwisata Matoa,
Sekolah Tinggi Agama Islam Persatuan Islam Jakarta,
Akademi Keperawatan RSP TNI-AU Jakarta,
Sekolah Tinggi Ilmu Kesehatan Persada Husada Indonesia,
Sekolah Tinggi Teologi  INJILI JAKARTA,
Universitas Nusa Mandiri,
Akademi Keperawatan Andalusia Jakarta,
Akademi Pariwisata Pertiwi,
Sekolah Tinggi Ilmu Ekonomi Moh Husni Thamrin,
Sekolah Tinggi Ilmu Kesehatan Binawan,
Sekolah Tinggi Teologi Obaja Jakarta,
Sekolah Tinggi Ilmu Kesehatan Mohammad Husni Thamrin,
STMIK Muhammad Husni Thamrin,
Universitas Binawan,
Universitas Kristen Indonesia,UKI
Universitas Mohammad Husni Thamrin Jakarta,
Universitas Surapati,
Akademi Keperawatan Hermina Manggala Husada,
Institut Bisnis Nusantara,IBN
Sekolah Tinggi Teologi Parausorat Nauli Jakarta,
Universitas Azzahra,
Akademi Pariwisata Tridaya,
Akademi Teknik Informatika Tunas Bangsa,
STISIP Pusaka Nusantara,
Sekolah Tinggi Teologi  Periago,
Politeknik Soca,
Institut Bio Scientia Internasional Indonesia,i3L
Institut Transportasi dan Logistik Trisakti,ITL Trisakti
Sekolah Tinggi Agama Hindu Dharma Nusantara Jakarta,
Sekolah Tinggi Ekonomi dan Perbankan Islam Mr. Sjafruddin Prawiranegara,
Sekolah Tinggi Ilmu Manajemen Lpmi,
Sekolah Tinggi Manajemen Transportasi Trisakti,
Sekolah Tinggi Teologi Bethel Nusantara,
Universitas Ibnu Chaldun,UIKA
Universitas Negeri Jakarta,UNJ
AMIK Laksi-31,
Akademi Kebidanan Al-Ikhlas Cisarua,
Akademi Kebidanan Annisa Jaya,
Akademi Kebidanan Bakti Indonesia Bogor,
Akademi Kebidanan Bhakti Bangsa,
Akademi Kebidanan Bunda Auni Bogor,
Akademi Kebidanan Wijaya Husada,
Akademi Keperawatan Al-Ikhlas Cisarua,
Akademi Kesenian Bogor,
Akademi Pariwisata Tunas Nusantara Mandiri,
AMIK BSI Bogor,
Institut Agama Islam Bogor,IAI Bogor
Institut Agama Islam Nasional Laa Roiba Bogor Jawa Barat,
Institut Agama Islam Sahid,IAI Sahid
Institut Agama Islam Tazkia,IAI Tazkia
Institut Pertanian Bogor,IPB
Institut Teknologi dan Bisnis Visi Nusantara Bogor,
Institut Ummul Quro AL-Islami Bogor Jawa Barat,IUQI Bogor
Politeknik AKA Bogor,
Politeknik Digital Boash Indonesia,
Politeknik Sains Seni Rekakreasi,
Politeknik Siber dan Sandi Negara,
Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Umat Islam Bogor Jawa Barat,
Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat,
Sekolah Tinggi Ilmu Administrasi Menara Siswa,
Sekolah Tinggi Ilmu Al Qur'an Ar-Rahman,
Sekolah Tinggi Ilmu Ekonomi Dewantara,
Sekolah Tinggi Ilmu Ekonomi Kalpataru,
Sekolah Tinggi Ilmu Ekonomi Pandu Madania,
Sekolah Tinggi Ilmu Kesehatan Bakti Indonesia,
Sekolah Tinggi Ilmu Manajemen Budi Bakti,
Sekolah Tinggi Ilmu Pendidikan Islam Maghfirah Bina Umat,
Sekolah Tinggi Ilmu Ushuluddin Wadi Mubarak Bogor Jawa Barat,
Sekolah Tinggi Kepemerintahan dan Kebijakan Publik,
Sekolah Tinggi Sandi Negara,
Sekolah Tinggi Teknologi Muhammadiyah Cileungsi,
Sekolah Tinggi Teologi Arrabona Bogor,
Sekolah Tinggi Teologi Kadesi Bogor,
Sekolah Tinggi Teologi Misi Indonesia Bandung,
Sekolah Tinggi Teologi Victory Cibubur,
STAI Al-Aulia Bogor,
STAI Al-Fatah Cileungsi Bogor,
STAI Al-Mukhlisin Bogor,
STAI Laa Roiba Bogor,
STAI Nida El Adabi Parung Panjang Bogor,
"STAI Nurul Iman Parung, Bogor",
STAI Terpadu Modern Sahid Bogor,
STAI YAPERI Cibinong,
STEI Tiara Rawamangun,
STIT Sirojul Falah Bogor,
STIT Tarbiyatun Nisa Sentul-Bogor,
STKIP Muhammadiyah Bogor,
STMIK Triguna Utama,
Sekolah Tinggi Teologi  Harapan Indah,
Universitas Djuanda,
Universitas Pertahanan,UNHAN
Sekolah Tinggi Ilmu Dakwah dan Komunikasi Islam Bogor Jawa Barat,
Sekolah Tinggi Ilmu Ekonomi Islam Napala,
Universitas Teknologi Nusantara,UTN
Sekolah Tinggi Intelijen Negara,
Sekolah Tinggi Teologi Sunsugos Jakarta,
Sekolah Tinggi Ekonomi Bisnis Islam Syari'ah Bina Mandiri Cileungsu Bogor,
Sekolah Tinggi Ilmu Syariah Al Wafa,
Sekolah Tinggi Ilmu Tarbiyah Fatahillah,
